transaction_id,item_id,transaction_date,item_category,item_name,item_volume,item_price, workItem_id
179899,6453929,08/20/2013,Bug,$/Woolworths/Main/Trunk/POS/Src/Configuration/Plugins/ViewNavigationRules/MainDisplay_ViewNavigationRules.xml,1,0,77698
179899,9200002,08/20/2013,Bug,$/Woolworths/Main/Trunk/POS/Src/ViewModels/ViewModels/SaleModeExtensionViewModel.cs,1,0,77698
179899,9201661,08/20/2013,Bug,$/Woolworths/Main/Trunk/POS/Src/Tests/Retalix.Woolworths.Client.POS.Presentation.ViewModels.Test/ViewModels/SaleModeExtensionViewModelShould.cs,1,0,77698
156360,10488561,06/20/2013,Bug,$/Woolworths/Main/Release/1.x/1.0.2/StoreServer/App/Src/ConnectivityServices/RetailTransaction/LogMessage/LogMessageHandler.cs,1,0,75976
156360,10486318,06/20/2013,Bug,$/Woolworths/Main/Release/1.x/1.0.2/StoreServer/App/Src/Tests/Retalix.Woolworths.Connectivity.Test/Retalix.Woolworths.Connectivity.Test.csproj,1,0,75976
156360,10488562,06/20/2013,Bug,$/Woolworths/Main/Release/1.x/1.0.2/StoreServer/App/Src/ConnectivityServices/RetailTransaction/LogMessage/LogMessageQueue.cs,1,0,75976
156360,10486342,06/20/2013,Bug,$/Woolworths/Main/Release/1.x/1.0.2/StoreServer/App/Src/Tests/Retalix.Woolworths.Connectivity.Test/RetailTransaction/LogMessage/LogMessageQueueShould.cs,1,0,75976
156360,10490046,06/20/2013,Bug,$/Woolworths/Main/Release/1.x/1.0.2/StoreServer/App/Src/ConnectivityServices/Retalix.Woolworths.ConnectivityServices.csproj,1,0,75976
281631,17900208,04/17/2014,Bug,$/TargetDomestic/Main/Trunk/StoreServer/DB/Scripts/Target/SqlServer/Upgrade/10.5.0.1_10.5.0.3/TargetMediaType.sql,1,0,155169
248607,6967846,01/30/2014,Bug,$/Woolworths/Main/Trunk/POS/Src/ViewModels/ViewModels/DeclarationViewModel.cs,1,0,134560
277379,12339831,04/06/2014,Bug,$/Woolworths/Main/Trunk/POS/Src/ViewModels/ViewModels/ScreenSaverViewModel.cs,1,0,154001
281618,16728959,04/17/2014,Bug,$/TargetDomestic/Main/Trunk/StoreServer/DB/Scripts/Target/SqlServer/Schema/TargetMediaType.sql,1,0,155169
195186,12867903,10/06/2013,Bug,$/TargetDomestic/Main/Trunk/StoreServer/App/Src/GIP/Retalix.TargetDomestic.GuestItemPolicy/GipRetailTransactionExtender.cs,1,0,98944
285989,17205506,04/30/2014,Bug,$/Coles/Main/Trunk/Config/RTI/01.BaseRTI/05. Messages/027_PartialRestrictedItemSCOStep1.MessageAdd,1,0,157967
241079,16472277,01/14/2014,Bug,$/Woolworths/Main/Trunk/StoreServer/App/Src/BusinessComponents/Receipts/PrintableDataAdaptors/CashManagementScoVersionDataAdapter.cs,1,0,127197
281622,17900208,04/17/2014,Bug,$/TargetDomestic/Main/Trunk/StoreServer/DB/Scripts/Target/SqlServer/Upgrade/10.5.0.1_10.5.0.3/TargetMediaType.sql,1,0,155169
