transaction_id,item_id,transaction_date,item_category,item_name,item_volume,item_price
294728,20972430,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/FreeItem/DataMapping/ActionPromotionFreeItemPerUomMapperShould.cs,1,0
294728,20980882,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffPerTicketMapper.cs,1,0
294728,20980881,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffPerItemMapper.cs,1,0
294728,20980880,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffMapper.cs,1,0
294728,20972429,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/FreeItem/DataMapping/ActionPromotionFreeItemMapperShould.cs,1,0
294728,20972434,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPricePerUomMapperShould.cs,1,0
294728,20972433,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPricePerItemMapperShould.cs,1,0
294728,20980876,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPricePerItemMapper.cs,1,0
294728,20980877,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPricePerUomMapper.cs,1,0
294728,20972432,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPriceMapperShould.cs,1,0
294728,20972438,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffPerTicketMapperShould.cs,1,0
294728,20980875,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/NewPrice/DataMapping/ActionPromotionNewPriceMapper.cs,1,0
294728,20972437,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffPerItemMapperShould.cs,1,0
294728,20980872,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/FreeItem/DataMapping/ActionPromotionFreeItemPerUomMapper.cs,1,0
294728,20972436,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Tests/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/PercentOff/DataMapping/ActionPromotionPercentOffMapperShould.cs,1,0
294728,20980871,5/20/14,Bug,$/R10/Main/Release/5.x/5.1/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MonetaryRewards/FreeItem/DataMapping/ActionPromotionFreeItemMapper.cs,1,0
290424,20778748,5/12/14,Bug,$/R10/Main/Trunk/Servers/Store/DB/Scripts/DMS/SqlServer/Code/StoredProcedures/DMS_ServerComponentsInfo_Update.sql,1,0
285994,15029617,4/30/14,Bug,$/R10/Main/Trunk/Servers/Store/Tests/Integration/Src/Retalix.IntegrationTests.Tax/Brackets.cs,1,0
299119,19122879,5/28/14,Bug,$/R10/Main/Trunk/Servers/Store/App/Src/DAL.ConnectivityServices/Tests/CDM.Test/AccountTransactionAuditMovableDaoShould.cs,1,0
